SRID	NAME	PROJ
20075	Pulkovo 1995 / Gauss-Kruger 15N	+proj=tmerc +lat_0=0 +lon_0=87 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20076	Pulkovo 1995 / Gauss-Kruger 16N	+proj=tmerc +lat_0=0 +lon_0=93 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20077	Pulkovo 1995 / Gauss-Kruger 17N	+proj=tmerc +lat_0=0 +lon_0=99 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20078	Pulkovo 1995 / Gauss-Kruger 18N	+proj=tmerc +lat_0=0 +lon_0=105 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20079	Pulkovo 1995 / Gauss-Kruger 19N	+proj=tmerc +lat_0=0 +lon_0=111 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20080	Pulkovo 1995 / Gauss-Kruger 20N	+proj=tmerc +lat_0=0 +lon_0=117 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20081	Pulkovo 1995 / Gauss-Kruger 21N	+proj=tmerc +lat_0=0 +lon_0=123 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20082	Pulkovo 1995 / Gauss-Kruger 22N	+proj=tmerc +lat_0=0 +lon_0=129 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20083	Pulkovo 1995 / Gauss-Kruger 23N	+proj=tmerc +lat_0=0 +lon_0=135 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20084	Pulkovo 1995 / Gauss-Kruger 24N	+proj=tmerc +lat_0=0 +lon_0=141 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20085	Pulkovo 1995 / Gauss-Kruger 25N	+proj=tmerc +lat_0=0 +lon_0=147 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20086	Pulkovo 1995 / Gauss-Kruger 26N	+proj=tmerc +lat_0=0 +lon_0=153 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20087	Pulkovo 1995 / Gauss-Kruger 27N	+proj=tmerc +lat_0=0 +lon_0=159 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20088	Pulkovo 1995 / Gauss-Kruger 28N	+proj=tmerc +lat_0=0 +lon_0=165 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20089	Pulkovo 1995 / Gauss-Kruger 29N	+proj=tmerc +lat_0=0 +lon_0=171 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20090	Pulkovo 1995 / Gauss-Kruger 30N	+proj=tmerc +lat_0=0 +lon_0=177 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20091	Pulkovo 1995 / Gauss-Kruger 31N	+proj=tmerc +lat_0=0 +lon_0=-177 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20092	Pulkovo 1995 / Gauss-Kruger 32N	+proj=tmerc +lat_0=0 +lon_0=-171 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
20135	Adindan / UTM zone 35N	+proj=utm +zone=35 +ellps=clrk80 +units=m +no_defs
20136	Adindan / UTM zone 36N	+proj=utm +zone=36 +ellps=clrk80 +units=m +no_defs
20137	Adindan / UTM zone 37N	+proj=utm +zone=37 +ellps=clrk80 +units=m +no_defs
20138	Adindan / UTM zone 38N	+proj=utm +zone=38 +ellps=clrk80 +units=m +no_defs
20248	AGD66 / AMG zone 48	+proj=utm +zone=48 +south +ellps=aust_SA +units=m +no_defs
20249	AGD66 / AMG zone 49	+proj=utm +zone=49 +south +ellps=aust_SA +units=m +no_defs
20250	AGD66 / AMG zone 50	+proj=utm +zone=50 +south +ellps=aust_SA +units=m +no_defs
20251	AGD66 / AMG zone 51	+proj=utm +zone=51 +south +ellps=aust_SA +units=m +no_defs
20252	AGD66 / AMG zone 52	+proj=utm +zone=52 +south +ellps=aust_SA +units=m +no_defs
20253	AGD66 / AMG zone 53	+proj=utm +zone=53 +south +ellps=aust_SA +units=m +no_defs
20254	AGD66 / AMG zone 54	+proj=utm +zone=54 +south +ellps=aust_SA +units=m +no_defs
20255	AGD66 / AMG zone 55	+proj=utm +zone=55 +south +ellps=aust_SA +units=m +no_defs
20256	AGD66 / AMG zone 56	+proj=utm +zone=56 +south +ellps=aust_SA +units=m +no_defs
20257	AGD66 / AMG zone 57	+proj=utm +zone=57 +south +ellps=aust_SA +units=m +no_defs
20258	AGD66 / AMG zone 58	+proj=utm +zone=58 +south +ellps=aust_SA +units=m +no_defs
20348	AGD84 / AMG zone 48	+proj=utm +zone=48 +south +ellps=aust_SA +units=m +no_defs
20349	AGD84 / AMG zone 49	+proj=utm +zone=49 +south +ellps=aust_SA +units=m +no_defs
20350	AGD84 / AMG zone 50	+proj=utm +zone=50 +south +ellps=aust_SA +units=m +no_defs
20351	AGD84 / AMG zone 51	+proj=utm +zone=51 +south +ellps=aust_SA +units=m +no_defs
20352	AGD84 / AMG zone 52	+proj=utm +zone=52 +south +ellps=aust_SA +units=m +no_defs
20353	AGD84 / AMG zone 53	+proj=utm +zone=53 +south +ellps=aust_SA +units=m +no_defs
20354	AGD84 / AMG zone 54	+proj=utm +zone=54 +south +ellps=aust_SA +units=m +no_defs
20355	AGD84 / AMG zone 55	+proj=utm +zone=55 +south +ellps=aust_SA +units=m +no_defs
20356	AGD84 / AMG zone 56	+proj=utm +zone=56 +south +ellps=aust_SA +units=m +no_defs
20357	AGD84 / AMG zone 57	+proj=utm +zone=57 +south +ellps=aust_SA +units=m +no_defs
20358	AGD84 / AMG zone 58	+proj=utm +zone=58 +south +ellps=aust_SA +units=m +no_defs
20437	Ain el Abd / UTM zone 37N	+proj=utm +zone=37 +ellps=intl +units=m +no_defs
20438	Ain el Abd / UTM zone 38N	+proj=utm +zone=38 +ellps=intl +units=m +no_defs
20439	Ain el Abd / UTM zone 39N	+proj=utm +zone=39 +ellps=intl +units=m +no_defs
20499	Ain el Abd / Bahrain Grid	+proj=utm +zone=39 +ellps=intl +units=m +no_defs
20538	Afgooye / UTM zone 38N	+proj=utm +zone=38 +ellps=krass +towgs84=-43,-163,45,0,0,0,0 +units=m +no_defs 
20539	Afgooye / UTM zone 39N	+proj=utm +zone=39 +ellps=krass +towgs84=-43,-163,45,0,0,0,0 +units=m +no_defs 
20790	Lisbon (Lisbon)/Portuguese National Grid	+proj=tmerc +lat_0=39.66666666666666 +lon_0=10.13190611111111 +k=1.000000 +x_0=200000 +y_0=300000 +ellps=intl +pm=lisbon +units=m +no_defs 
20791	Lisbon (Lisbon)/Portuguese Grid	+proj=tmerc +lat_0=39.66666666666666 +lon_0=10.13190611111111 +k=1.000000 +x_0=0 +y_0=0 +ellps=intl +pm=lisbon +units=m +no_defs 
20822	Aratu / UTM zone 22S	+proj=utm +zone=22 +south +ellps=intl +units=m +no_defs
20823	Aratu / UTM zone 23S	+proj=utm +zone=23 +south +ellps=intl +units=m +no_defs
20824	Aratu / UTM zone 24S	+proj=utm +zone=24 +south +ellps=intl +units=m +no_defs
20934	Arc 1950 / UTM zone 34S	+proj=utm +zone=34 +south +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
20935	Arc 1950 / UTM zone 35S	+proj=utm +zone=35 +south +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
20936	Arc 1950 / UTM zone 36S	+proj=utm +zone=36 +south +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
21035	Arc 1960 / UTM zone 35S	+proj=utm +zone=35 +south +ellps=clrk80 +units=m +no_defs
21036	Arc 1960 / UTM zone 36S	+proj=utm +zone=36 +south +ellps=clrk80 +units=m +no_defs
21037	Arc 1960 / UTM zone 37S	+proj=utm +zone=37 +south +ellps=clrk80 +units=m +no_defs
21095	Arc 1960 / UTM zone 35N	+proj=utm +zone=35 +ellps=clrk80 +units=m +no_defs
21096	Arc 1960 / UTM zone 36N	+proj=utm +zone=36 +ellps=clrk80 +units=m +no_defs
21097	Arc 1960 / UTM zone 37N	+proj=utm +zone=37 +ellps=clrk80 +units=m +no_defs
21100	Batavia (Jakarta) / NEIEZ	+proj=merc +lat_ts=0 +lon_0=3.192280555555598 +k=0.997000 +x_0=3900000 +y_0=900000 +ellps=bessel +pm=jakarta +units=m +no_defs 
21148	Batavia / UTM zone 48S	+proj=utm +zone=48 +south +ellps=bessel +units=m +no_defs
21149	Batavia / UTM zone 49S	+proj=utm +zone=49 +south +ellps=bessel +units=m +no_defs
21150	Batavia / UTM zone 50S	+proj=utm +zone=50 +south +ellps=bessel +units=m +no_defs
21291	Barbados 1938 / British West Indies Grid	+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.999500 +x_0=400000 +y_0=0 +ellps=clrk80 +units=m +no_defs 
21292	Barbados 1938 / Barbados National Grid	+proj=tmerc +lat_0=13.17638888888889 +lon_0=-59.55972222222222 +k=0.999999 +x_0=30000 +y_0=75000 +ellps=clrk80 +units=m +no_defs 
21413	Beijing 1954 / Gauss-Kruger zone 13	+proj=tmerc +lat_0=0 +lon_0=75 +k=1.000000 +x_0=13500000 +y_0=0 +ellps=krass +units=m +no_defs 
21414	Beijing 1954 / Gauss-Kruger zone 14	+proj=tmerc +lat_0=0 +lon_0=81 +k=1.000000 +x_0=14500000 +y_0=0 +ellps=krass +units=m +no_defs 
21415	Beijing 1954 / Gauss-Kruger zone 15	+proj=tmerc +lat_0=0 +lon_0=87 +k=1.000000 +x_0=15500000 +y_0=0 +ellps=krass +units=m +no_defs 
21416	Beijing 1954 / Gauss-Kruger zone 16	+proj=tmerc +lat_0=0 +lon_0=93 +k=1.000000 +x_0=16500000 +y_0=0 +ellps=krass +units=m +no_defs 
21417	Beijing 1954 / Gauss-Kruger zone 17	+proj=tmerc +lat_0=0 +lon_0=99 +k=1.000000 +x_0=17500000 +y_0=0 +ellps=krass +units=m +no_defs 
21418	Beijing 1954 / Gauss-Kruger zone 18	+proj=tmerc +lat_0=0 +lon_0=105 +k=1.000000 +x_0=18500000 +y_0=0 +ellps=krass +units=m +no_defs 
21419	Beijing 1954 / Gauss-Kruger zone 19	+proj=tmerc +lat_0=0 +lon_0=111 +k=1.000000 +x_0=19500000 +y_0=0 +ellps=krass +units=m +no_defs 
21420	Beijing 1954 / Gauss-Kruger zone 20	+proj=tmerc +lat_0=0 +lon_0=117 +k=1.000000 +x_0=20500000 +y_0=0 +ellps=krass +units=m +no_defs 
21421	Beijing 1954 / Gauss-Kruger zone 21	+proj=tmerc +lat_0=0 +lon_0=123 +k=1.000000 +x_0=21500000 +y_0=0 +ellps=krass +units=m +no_defs 
21422	Beijing 1954 / Gauss-Kruger zone 22	+proj=tmerc +lat_0=0 +lon_0=129 +k=1.000000 +x_0=22500000 +y_0=0 +ellps=krass +units=m +no_defs 
21423	Beijing 1954 / Gauss-Kruger zone 23	+proj=tmerc +lat_0=0 +lon_0=135 +k=1.000000 +x_0=23500000 +y_0=0 +ellps=krass +units=m +no_defs 
21453	Beijing 1954 / Gauss-Kruger CM 75E	+proj=tmerc +lat_0=0 +lon_0=75 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21454	Beijing 1954 / Gauss-Kruger CM 81E	+proj=tmerc +lat_0=0 +lon_0=81 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21455	Beijing 1954 / Gauss-Kruger CM 87E	+proj=tmerc +lat_0=0 +lon_0=87 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21456	Beijing 1954 / Gauss-Kruger CM 93E	+proj=tmerc +lat_0=0 +lon_0=93 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21457	Beijing 1954 / Gauss-Kruger CM 99E	+proj=tmerc +lat_0=0 +lon_0=99 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21458	Beijing 1954 / Gauss-Kruger CM 105E	+proj=tmerc +lat_0=0 +lon_0=105 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21459	Beijing 1954 / Gauss-Kruger CM 111E	+proj=tmerc +lat_0=0 +lon_0=111 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21460	Beijing 1954 / Gauss-Kruger CM 117E	+proj=tmerc +lat_0=0 +lon_0=117 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21461	Beijing 1954 / Gauss-Kruger CM 123E	+proj=tmerc +lat_0=0 +lon_0=123 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21462	Beijing 1954 / Gauss-Kruger CM 129E	+proj=tmerc +lat_0=0 +lon_0=129 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21463	Beijing 1954 / Gauss-Kruger CM 135E	+proj=tmerc +lat_0=0 +lon_0=135 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21473	Beijing 1954 / Gauss-Kruger 13N	+proj=tmerc +lat_0=0 +lon_0=75 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21474	Beijing 1954 / Gauss-Kruger 14N	+proj=tmerc +lat_0=0 +lon_0=81 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21475	Beijing 1954 / Gauss-Kruger 15N	+proj=tmerc +lat_0=0 +lon_0=87 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21476	Beijing 1954 / Gauss-Kruger 16N	+proj=tmerc +lat_0=0 +lon_0=93 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21477	Beijing 1954 / Gauss-Kruger 17N	+proj=tmerc +lat_0=0 +lon_0=99 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21478	Beijing 1954 / Gauss-Kruger 18N	+proj=tmerc +lat_0=0 +lon_0=105 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21479	Beijing 1954 / Gauss-Kruger 19N	+proj=tmerc +lat_0=0 +lon_0=111 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21480	Beijing 1954 / Gauss-Kruger 20N	+proj=tmerc +lat_0=0 +lon_0=117 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21481	Beijing 1954 / Gauss-Kruger 21N	+proj=tmerc +lat_0=0 +lon_0=123 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21482	Beijing 1954 / Gauss-Kruger 22N	+proj=tmerc +lat_0=0 +lon_0=129 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21483	Beijing 1954 / Gauss-Kruger 23N	+proj=tmerc +lat_0=0 +lon_0=135 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
21500	Belge 1950 (Brussels) / Belge Lambert 50	+proj=lcc +lat_1=49.83333333333334 +lat_2=51.16666666666666 +lat_0=90 +lon_0=-4.367975 +x_0=150000 +y_0=5400000 +ellps=intl +pm=brussels +units=m +no_defs 
21780	Bern 1898 (Bern) / LV03C	+proj=somerc +lat_0=46.95240555555556 +lon_0=-7.439583333333333 +x_0=0 +y_0=0 +ellps=bessel +pm=bern +units=m +no_defs 
21781	CH1903 / LV03	+proj=somerc +lat_0=46.95240555555556 +lon_0=7.439583333333333 +x_0=600000 +y_0=200000 +ellps=bessel +units=m +no_defs 
21817	Bogota 1975 / UTM zone 17N	+proj=utm +zone=17 +ellps=intl +units=m +no_defs
21818	Bogota 1975 / UTM zone 18N	+proj=utm +zone=18 +ellps=intl +units=m +no_defs
21891	Bogota 1975 / Colombia West zone	+proj=tmerc +lat_0=4.599047222222222 +lon_0=-77.08091666666667 +k=1.000000 +x_0=1000000 +y_0=1000000 +ellps=intl +units=m +no_defs 
21892	Bogota 1975 / Colombia Bogota zone	+proj=tmerc +lat_0=4.599047222222222 +lon_0=-74.08091666666667 +k=1.000000 +x_0=1000000 +y_0=1000000 +ellps=intl +units=m +no_defs 
21893	Bogota 1975 / Colombia East Central zone	+proj=tmerc +lat_0=4.599047222222222 +lon_0=-71.08091666666667 +k=1.000000 +x_0=1000000 +y_0=1000000 +ellps=intl +units=m +no_defs 
21894	Bogota 1975 / Colombia East	+proj=tmerc +lat_0=4.599047222222222 +lon_0=-68.08091666666667 +k=1.000000 +x_0=1000000 +y_0=1000000 +ellps=intl +units=m +no_defs 
22032	Camacupa / UTM zone 32S	+proj=utm +zone=32 +south +ellps=clrk80 +units=m +no_defs
22033	Camacupa / UTM zone 33S	+proj=utm +zone=33 +south +ellps=clrk80 +units=m +no_defs
22091	Camacupa / TM 11.30 SE	+proj=tmerc +lat_0=0 +lon_0=11.5 +k=0.999600 +x_0=500000 +y_0=10000000 +ellps=clrk80 +units=m +no_defs 
22092	Camacupa / TM 12 SE	+proj=tmerc +lat_0=0 +lon_0=12 +k=0.999600 +x_0=500000 +y_0=10000000 +ellps=clrk80 +units=m +no_defs 
22191	Campo Inchauspe / Argentina 1	+proj=tmerc +lat_0=-90 +lon_0=-72 +k=1.000000 +x_0=1500000 +y_0=0 +ellps=intl +units=m +no_defs 
22192	Campo Inchauspe / Argentina 2	+proj=tmerc +lat_0=-90 +lon_0=-69 +k=1.000000 +x_0=2500000 +y_0=0 +ellps=intl +units=m +no_defs 
22193	Campo Inchauspe / Argentina 3	+proj=tmerc +lat_0=-90 +lon_0=-66 +k=1.000000 +x_0=3500000 +y_0=0 +ellps=intl +units=m +no_defs 
22194	Campo Inchauspe / Argentina 4	+proj=tmerc +lat_0=-90 +lon_0=-63 +k=1.000000 +x_0=4500000 +y_0=0 +ellps=intl +units=m +no_defs 
22195	Campo Inchauspe / Argentina 5	+proj=tmerc +lat_0=-90 +lon_0=-60 +k=1.000000 +x_0=5500000 +y_0=0 +ellps=intl +units=m +no_defs 
22196	Campo Inchauspe / Argentina 6	+proj=tmerc +lat_0=-90 +lon_0=-57 +k=1.000000 +x_0=6500000 +y_0=0 +ellps=intl +units=m +no_defs 
22197	Campo Inchauspe / Argentina 7	+proj=tmerc +lat_0=-90 +lon_0=-54 +k=1.000000 +x_0=7500000 +y_0=0 +ellps=intl +units=m +no_defs 
22234	Cape / UTM zone 34S	+proj=utm +zone=34 +south +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22235	Cape / UTM zone 35S	+proj=utm +zone=35 +south +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22236	Cape / UTM zone 36S	+proj=utm +zone=36 +south +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22275	South African Coordinate System zone 15	+proj=longlat +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22277	South African Coordinate System zone 17	+proj=longlat +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22279	South African Coordinate System zone 19	+proj=longlat +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22281	South African Coordinate System zone 21	+proj=longlat +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22283	South African Coordinate System zone 23	+proj=longlat +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22285	South African Coordinate System zone 25	+proj=longlat +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22287	South African Coordinate System zone 27	+proj=longlat +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22289	South African Coordinate System zone 29	+proj=longlat +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22291	South African Coordinate System zone 31	+proj=longlat +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22293	South African Coordinate System zone 33	+proj=longlat +a=6378249.145 +b=6356514.966398753 +units=m +no_defs 
22300	Carthage (Paris) / Tunisia Mining Grid	+proj=longlat +a=6378249.2 +b=6356515 +pm=paris +units=km +no_defs 
22332	Carthage / UTM zone 32N	+proj=utm +zone=32 +a=6378249.2 +b=6356515 +units=m +no_defs 
22391	Carthage / Nord Tunisie	+proj=lcc +lat_1=36 +lat_0=36 +lon_0=9.9 +k_0=0.999625544 +x_0=500000 +y_0=300000 +a=6378249.2 +b=6356515 +units=m +no_defs 
22392	Carthage / Sud Tunisie	+proj=lcc +lat_1=33.3 +lat_0=33.3 +lon_0=9.9 +k_0=0.999625769 +x_0=500000 +y_0=300000 +a=6378249.2 +b=6356515 +units=m +no_defs 
22523	Corrego Alegre / UTM zone 23S	+proj=utm +zone=23 +south +ellps=intl +towgs84=-206,172,-6,0,0,0,0 +units=m +no_defs 
22524	Corrego Alegre / UTM zone 24S	+proj=utm +zone=24 +south +ellps=intl +towgs84=-206,172,-6,0,0,0,0 +units=m +no_defs 
22700	Deir ez Zor / Levant Zone	+proj=lcc +lat_1=34.65 +lat_0=34.65 +lon_0=37.35 +k_0=0.9996256 +x_0=300000 +y_0=300000 +a=6378249.2 +b=6356515 +units=m +no_defs 
22770	Deir ez Zor / Syria Lambert	+proj=lcc +lat_1=34.65 +lat_0=34.65 +lon_0=37.35 +k_0=0.9996256 +x_0=300000 +y_0=300000 +a=6378249.2 +b=6356515 +units=m +no_defs 
22780	Deir ez Zor / Levant Stereographic	+proj=stere +lat_0=34.2 +lon_0=39.15 +k=0.999534 +x_0=0 +y_0=0 +a=6378249.2 +b=6356515 +units=m +no_defs 
22832	Douala / UTM zone 32N	+proj=utm +zone=32 +a=6378249.2 +b=6356515 +units=m +no_defs 
22991	Egypt 1907 / Blue Belt	+proj=tmerc +lat_0=30 +lon_0=35 +k=1.000000 +x_0=300000 +y_0=1100000 +ellps=helmert +units=m +no_defs 
22992	Egypt 1907 / Red Belt	+proj=tmerc +lat_0=30 +lon_0=31 +k=1.000000 +x_0=615000 +y_0=810000 +ellps=helmert +units=m +no_defs 
22993	Egypt 1907 / Purple Belt	+proj=tmerc +lat_0=30 +lon_0=27 +k=1.000000 +x_0=700000 +y_0=200000 +ellps=helmert +units=m +no_defs 
22994	Egypt 1907 / Extended Purple Belt	+proj=tmerc +lat_0=30 +lon_0=27 +k=1.000000 +x_0=700000 +y_0=1200000 +ellps=helmert +units=m +no_defs 
23028	ED50 / UTM zone 28N	+proj=utm +zone=28 +ellps=intl +units=m +no_defs
23029	ED50 / UTM zone 29N	+proj=utm +zone=29 +ellps=intl +units=m +no_defs
23030	ED50 / UTM zone 30N	+proj=utm +zone=30 +ellps=intl +units=m +no_defs
23031	ED50 / UTM zone 31N	+proj=utm +zone=31 +ellps=intl +units=m +no_defs
23032	ED50 / UTM zone 32N	+proj=utm +zone=32 +ellps=intl +units=m +no_defs
23033	ED50 / UTM zone 33N	+proj=utm +zone=33 +ellps=intl +units=m +no_defs
23034	ED50 / UTM zone 34N	+proj=utm +zone=34 +ellps=intl +units=m +no_defs
23035	ED50 / UTM zone 35N	+proj=utm +zone=35 +ellps=intl +units=m +no_defs
23036	ED50 / UTM zone 36N	+proj=utm +zone=36 +ellps=intl +units=m +no_defs
23037	ED50 / UTM zone 37N	+proj=utm +zone=37 +ellps=intl +units=m +no_defs
23038	ED50 / UTM zone 38N	+proj=utm +zone=38 +ellps=intl +units=m +no_defs
23090	ED50 / TM 0 N	+proj=tmerc +lat_0=0 +lon_0=0 +k=0.999600 +x_0=500000 +y_0=0 +ellps=intl +units=m +no_defs 
23095	ED50 / TM 5 NE	+proj=tmerc +lat_0=0 +lon_0=5 +k=0.999600 +x_0=500000 +y_0=0 +ellps=intl +units=m +no_defs 
23239	Fahud / UTM zone 39N	+proj=utm +zone=39 +ellps=clrk80 +units=m +no_defs
23240	Fahud / UTM zone 40N	+proj=utm +zone=40 +ellps=clrk80 +units=m +no_defs
23433	Garoua / UTM zone 33N	+proj=utm +zone=33 +a=6378249.2 +b=6356515 +units=m +no_defs 
23700	HD72 / EOV	+proj=somerc +lat_0=47.14439372222222 +lon_0=19.04857177777778 +x_0=650000 +y_0=200000 +ellps=GRS67 +units=m +no_defs 
23846	ID74 / UTM zone 46N	+proj=utm +zone=46 +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23847	ID74 / UTM zone 47N	+proj=utm +zone=47 +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23848	ID74 / UTM zone 48N	+proj=utm +zone=48 +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23849	ID74 / UTM zone 49N	+proj=utm +zone=49 +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23850	ID74 / UTM zone 50N	+proj=utm +zone=50 +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23851	ID74 / UTM zone 51N	+proj=utm +zone=51 +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23852	ID74 / UTM zone 52N	+proj=utm +zone=52 +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23853	ID74 / UTM zone 53N	+proj=utm +zone=53 +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23886	ID74 / UTM zone 46S	+proj=utm +zone=46 +south +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23887	ID74 / UTM zone 47S	+proj=utm +zone=47 +south +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23888	ID74 / UTM zone 48S	+proj=utm +zone=48 +south +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23889	ID74 / UTM zone 49S	+proj=utm +zone=49 +south +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23890	ID74 / UTM zone 50S	+proj=utm +zone=50 +south +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23891	ID74 / UTM zone 51S	+proj=utm +zone=51 +south +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23892	ID74 / UTM zone 52S	+proj=utm +zone=52 +south +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23893	ID74 / UTM zone 53S	+proj=utm +zone=53 +south +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23894	ID74 / UTM zone 54S	+proj=utm +zone=54 +south +a=6378160 +b=6356774.50408554 +units=m +no_defs 
23946	Indian 1954 / UTM zone 46N	+proj=utm +zone=46 +a=6377276.345 +b=6356075.413140239 +towgs84=217,823,299,0,0,0,0 +units=m +no_defs 
23947	Indian 1954 / UTM zone 47N	+proj=utm +zone=47 +a=6377276.345 +b=6356075.413140239 +towgs84=217,823,299,0,0,0,0 +units=m +no_defs 
23948	Indian 1954 / UTM zone 48N	+proj=utm +zone=48 +a=6377276.345 +b=6356075.413140239 +towgs84=217,823,299,0,0,0,0 +units=m +no_defs 
24047	Indian 1975 / UTM zone 47N	+proj=utm +zone=47 +a=6377276.345 +b=6356075.413140239 +units=m +no_defs 
24048	Indian 1975 / UTM zone 48N	+proj=utm +zone=48 +a=6377276.345 +b=6356075.413140239 +units=m +no_defs 
24100	Jamaica 1875 / Jamaica (Old Grid)	+proj=lcc +lat_1=18 +lat_0=18 +lon_0=-77 +k_0=1 +x_0=167638.49575 +y_0=121918.906 +ellps=clrk80 +to_meter=0.304797265 +no_defs 
24200	JAD69 / Jamaica National Grid	+proj=lcc +lat_1=18 +lat_0=18 +lon_0=-77 +k_0=1 +x_0=250000 +y_0=150000 +ellps=clrk66 +units=m +no_defs
24305	Kalianpur 1937 / UTM zone 45N	+proj=utm +zone=45 +a=6377276.345 +b=6356075.413140239 +units=m +no_defs 
24306	Kalianpur 1937 / UTM zone 46N	+proj=utm +zone=46 +a=6377276.345 +b=6356075.413140239 +units=m +no_defs 
